2024,Computer Science + Co-Op,York University,93,accepted
2024,Computer Science Bsc (Co-Op),York University,90,accepted
2024,"York University - Computer Science (Bsc, Ibsc) - Including Co-Op",York University,88,accepted
2024,Computer Science,Mcmaster University,99,accepted
2024,Computer Science I (Co-Op),Mcmaster University,97,accepted
2024,Computer Science I (Co-Op),Mcmaster University,98,accepted
2024,Computer Science I (Co-Op),Mcmaster University,99,accepted
2024,Mcmaster University - Computer Science I (Co-Op),Mcmaster University,98,accepted
2024,Computer Science,Western University,98,accepted
2024,Cs,Western University,98,accepted
2024,Mn: Computer Science,Western University,94,accepted
2024,Computer Science,Western University,95,accepted
2024,Computer Science,Western University,96,accepted
2024,Computer Science,Western University,97,accepted
2024,Computer Science,Western University,94,accepted
2024,Computer Science,Western University,96,accepted
2024,Computer Science,Western University,98,accepted
2024,Computer Science (Computer Science),Western University,96,accepted
2024,Computer Science W/ Ivey Aeo,Western University,97,accepted
2024,Computer Science,Western University,94,accepted
2024,Western Computer Science,Western University,97,accepted
2024,Computer Science,Wilfrid Laurier University,92,accepted
2024,Computer Science,Wilfrid Laurier University,93,accepted
2024,"Waterloo Campus, Idk About Co-Op, Cs",Wilfrid Laurier University,89,accepted
2024,"Wilfrid Laurier University - Computer Science (Bsc), Waterloo Campus",Wilfrid Laurier University,95,accepted
2024,"Computer Science - (Bsc), Waterloo Campus",Wilfrid Laurier University,87,accepted
2024,Computer Science (Bsc),Wilfrid Laurier University,96,accepted
2024,"Computer Science (Bsc), Waterloo Campus",Wilfrid Laurier University,83,accepted
2024,Honours Computer Science - Bsc,Wilfrid Laurier University,91,accepted
2024,Laurier Cs,Wilfrid Laurier University,97,accepted
2024,Computer Science (Bsc),Wilfrid Laurier University,85,accepted
2024,Computer Science (Bsc),Wilfrid Laurier University,85,accepted
2024,Laurier Cs,Wilfrid Laurier University,94,accepted
2024,"Computer Science (Bsc), Waterloo Campus",Wilfrid Laurier University,88,accepted
2024,Computer Science (Ba In Combination) With Management Option,Wilfrid Laurier University,85,accepted
2024,Computer Science,York University,94,accepted
2024,"Computer Science (Bsc, Ibsc) - Including Co-Op",York University,93,accepted
2024,"Computer Science (Bsc, Ibsc) - Including Co-Op (Computer Science (Bsc))",York University,94,accepted
2024,Computer Science Bsc- Co-Op,York University,94,accepted
2024,Computing,Queens University,96,accepted
2024,Computing,Queens University,96,accepted
2024,Computing,Queens University,93,accepted
2024,Computing - Including Optional Internship (Bcmph),Queens University,93,accepted
2024,Computing - Including Optional Internship (Bcmph),Queens University,96,accepted
2024,Computing - Including Optional Internship (Bcmph),Queens University,97,accepted
2024,Computing - Including Optional Internship (Bcmph),Queens University,98,accepted
2024,Computing - Including Optional Internship (Bcmph),Queens University,97,accepted
2024,Queens Computing,Queens University,97,accepted
2024,Computing W/ Optional Internship,Queens University,92,accepted
2024,Computing- Including Optional Internship (Bcmph),Queens University,98,accepted
2024,Qd - Including Optional Internship,Queens University,97,accepted
2024,Queen'S University - Computing - Including Optional Internship,Queens University,93,accepted
2024,Queen'S University - Computing - Including Optional Internship (Bcmph) - For Choice 06,Queens University,94,accepted
2024,Software Engineering,University Of Waterloo,100,accepted
2024,Software Engineering (Co-Op Only),University Of Waterloo,87,accepted
2024,Electrical Engineering,University Of Waterloo,93,accepted
2024,Electrical Engineering Co-Op,University Of Waterloo,94,accepted
2024,Electrical Engineering Co-Op,University Of Waterloo,93,accepted
2024,Electrical Engineering Honours Co-Op,University Of Waterloo,97,accepted
2024,Honours Mechanical Engineering And Co-Op,University Of Waterloo,98,accepted
2024,Mechanical Engineering,University Of Waterloo,97,accepted
2024,Mechanical Engineering (Co-Op Only),University Of Waterloo,98,accepted
2024,Mechanical Engineering (Co-Op),University Of Waterloo,92,accepted
2024,Mechanical Engineering (Co-Opï¼‰,University Of Waterloo,94,accepted
2024,Mechanical Engineering Co-Op,University Of Waterloo,98,accepted
2024,Mechanical Engineering Honours (Co-Op),University Of Waterloo,95,accepted
2024,Mechanical Engineering Honours Co-Op,University Of Waterloo,96,accepted
2024,University Of Waterloo - Mechanical Engineering (Co-Op Only),University Of Waterloo,98,accepted
2024,Computer Engineering,University Of Waterloo,92,accepted
2024,Computer Engineering,University Of Waterloo,97,accepted
2024,Computer Engineering,University Of Waterloo,96,accepted
2024,Computer Engineering (Co-Op Only),University Of Waterloo,96,accepted
2024,Computer Engineering (Co-Op Only),University Of Waterloo,98,accepted
2024,Computer Engineering (Co-Op Only),University Of Waterloo,96,accepted
2024,Computer Engineering (Co-Op),University Of Waterloo,98,accepted
2024,Computer Engineering (Co-Op),University Of Waterloo,95,accepted
2024,Computer Engineering (Coop),University Of Waterloo,95,accepted
2024,Computer Engineering (Coop),University Of Waterloo,96,accepted
2024,Computer Engineering Co-Op,University Of Waterloo,97,accepted
2024,Computer Engineering Honours Co-Op,University Of Waterloo,95,accepted
2024,University Of Waterloo - Computer Engineering (Co-Op Only),University Of Waterloo,91,accepted
2024,Waterloo Ce - Coop,University Of Waterloo,93,accepted
2024,Engineering,Western University,98,accepted
2024,Engineering,Western University,86,accepted
2024,Carleton University - B. Engineering: Aerospace,Carleton University,91,accepted
2024,Carleton University - B. Engineering: Aerospace,Carleton University,91,accepted
2024,Bachelor Of Applied Science In Mechanical Engineering And Bachelor Of Sc. In Computing Technology Coop Program,University Of Ottawa,86,accepted
2024,Waterloo Mechanical Engineering Co-Op,University Of Waterloo,94,accepted
2024,Non-Co-Op Computer Engineering,Carleton University,97,accepted
2024,B. - Engineering: Mechanical,Carleton University,86,accepted
2024,B. Engineering: Biomedical & Mechanical W/Co-Op,Carleton University,94,accepted
2024,Civil Engineering(Cooperative Education),Carleton University,90,accepted
2024,Computer Systems Engineering Co-Op,Carleton University,85,accepted
2024,Computer Engineering Co-Op,Carleton University,94,accepted
2024,B. Engineering: Biomedical & Electrical,Carleton University,91,accepted
2024,Sustainability And Renewable Energy Engineering (With Co-Op),Carleton University,85,accepted
2024,"Bachelor Of Engineering: Engineering Physics, Co-Op",Carleton University,92,accepted
2024,Computer Engineering,Toronto Metropolitan University,90,accepted
2024,Computer Engineering,Toronto Metropolitan University,93,accepted
2024,Computer Engineering,Toronto Metropolitan University,93,accepted
2024,Computer Engineering,Toronto Metropolitan University,94,accepted
2024,Computer Engineering,Toronto Metropolitan University,96,accepted
2024,Toronto Metropolitan University - Computer Engineering (Co-Op Available),Toronto Metropolitan University,92,accepted
2024,Chemical Engineering Coop,Toronto Metropolitan University,94,accepted
2024,Electrical Engineering (Co-Op),Ontario Tech University,78,accepted
2024,Ontario Tech University - Software Engineering (Beng/Bengm) (Co-Op),Ontario Tech University,96,accepted
2024,Chemical Engineering Co-Op,University Of Ottawa,94,accepted
2024,Bachelor Of Applied Science Chemical Engineering (Co-Op),University Of Ottawa,84,accepted
2024,Chemical Engineering,University Of Ottawa,94,accepted
2024,Chemical Engineering Co-Op,University Of Ottawa,85,accepted
2024,Civil Engineering,University Of Ottawa,94,accepted
2024,Engineering,York University,85,accepted
2024,Engineering,York University,89,accepted
2024,Engineering,York University,96,accepted
2024,Engineering (Beng) - Including Co-Op,York University,94,accepted
2024,Engineering (Beng) - Including Co-Op,York University,92,accepted
2024,Electrical Engineering Co-Op,Mcmaster University,91,accepted
2024,Non-Co-Op Computer Engineering,University Of Guelph,97,accepted
2024,"Bachelor Of Computing, Honours Co-Op Major Software Engineering",University Of Guelph,98,accepted
2024,Software Engineering,University Of Guelph,96,accepted
2024,Mcmaster University - Engineering I (Co-Op),Mcmaster University,93,accepted
2024,Computer Engineering And Cs,Mcgill University,98,accepted
2024,Bachelor Of Science In Engineering,University Of Alberta,88,accepted
2024,Uo: Civil Engineering Co-Op Program,University Of Ottawa,97,accepted
2024,Physics And Electrical Engineering (Double Degree),University Of Ottawa,93,accepted
2024,Electrical Engineering,Toronto Metropolitan University,90,accepted
2024,"Bachelor Of Engineering And Co-Op (Hons), Mechatronics Engineering",Ontario Tech University,95,accepted
2024,Software Engineering (Beng/Bengm) (Co-Op),Ontario Tech University,94,accepted
2024,Engineering (Beng) - Including Co-Op,York University,91,accepted
2024,Engineering (Beng) - Including Co-Op,York University,98,accepted
2024,Engineering (Beng) - Including Co-Op,York University,89,accepted
2024,Engineering,Western University,94,accepted
2024,Engineering,Western University,94,accepted
2024,Engineering,Western University,97,accepted
2024,Engineering,Western University,96,accepted
2024,Engineering,Western University,95,accepted
2024,Engineering,Western University,96,accepted
2024,Engineering (Co-Op And Regular) (Biomedical & Chemical Engineering (Co-Op Optional)),Western University,97,accepted
2024,Engineering (Co-Op And Regular)(Biomedical & Mechatronic Engineering (Co-Op Optional)),Western University,98,accepted
2024,Mn: Engineering (Co-Op And Regular),Western University,96,accepted
2024,Softwear Engineering W/ Co-Op,Carleton University,97,accepted
2024,Software Engineering,Carleton University,96,accepted
2024,Software Engineering,Carleton University,97,accepted
2024,Engineering,University Of Calgary,96,accepted
2024,Biological Engineering (Co-Op),University Of Guelph,93,accepted
2024,Mechanical Engineering Co-Op,University Of Guelph,95,accepted
2024,Engineering,University Of British Columbia,95,accepted
2024,Electrical Engineering Co-Op,University Of Ottawa,95,accepted
2024,Electrical Engineering And Computing Technology,University Of Ottawa,92,accepted
2024,Bachelor Of Applied Science Electrical Engineering (Co-Op),University Of Ottawa,90,accepted
2024,Mechanical Engineering And Computing Technology,University Of Ottawa,93,accepted
2024,Engineering - Common First Year,Queens University,97,accepted
2024,Engineering - Common First Year - Including Optional Internship (Filed Of Interest: Electrical Engineering),Queens University,99,accepted
2024,Engineering Including Optional Internship,Queens University,99,accepted
2024,Queen'S University - Engineering - Common First Year - Including Optional Internship (Basc),Queens University,96,accepted
2024,"Applied Science, Smith Engineering",Queens University,95,accepted
2024,Common First Year Engineering At Queens,Queens University,94,accepted
2024,Engineering,Queens University,95,accepted
2024,Engineering - Common First Year,Queens University,97,accepted
2024,Engineering - Common First Year - Including Optional Internship,Queens University,96,accepted
2024,Engineering - Common First Year - Including Optional Internship (Basc),Queens University,97,accepted
2024,Engineering - Common First Year - Optional Internship,Queens University,94,accepted
2024,Engineering (Co-Op),Queens University,91,accepted
2024,Queen'S University - Engineering - Common First Year - Including Optional Internship (Basc),Queens University,97,accepted
2024,Queen'S University - Engineering - Common First Year - Including Optional Internship (Basc),Queens University,94,accepted
2024,Queens Engineering (Common First Year) + Optional Quip,Queens University,96,accepted
2024,Smith Engineering,Queens University,94,accepted
2024,Smith Engineering,Queens University,92,accepted
2024,Computer Engineering Or Electrical Engineering - Innovation,Queens University,97,accepted
2024,Computer Engineering Or Electrical Engineering - Innovation - Including Optional Internship,Queens University,93,accepted
2024,Computer Engineering Or Electrical Engineering - Innovation - Including Optional Internship (Basc),Queens University,91,accepted
